fiscal_yr,service_id,service_name_en,service_name_fr,service_standard_id,service_standard_en,service_standard_fr,type,channel,channel_comments_en,channel_comments_fr,target,volume_meeting_target,total_volume,performance,comments_en,comments_fr,target_met,standards_targets_uri_en,standards_targets_uri_fr,performance_results_uri_en,performance_results_uri_fr,owner_org,owner_org_title
2023-2024,2224,AAFC Contact Centre,Centre d’appels de la Direction des programmes du revenu agricole (DPRA),3261,Answer calls received within 60 seconds,On répond aux appels dans un délai de 60 secondes,TML,TEL,,,0.9,31283,31689,0.9872,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability/resources/service-standard-statistics#a1,https://agriculture.canada.ca/fr/programmes-services-agricoles/agri-stabilite/ressources/statistiques-normes-service#a1,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability/resources/service-standard-statistics#a1,https://agriculture.canada.ca/fr/programmes-services-agricoles/agri-stabilite/ressources/statistiques-normes-service#a1,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,139,AgriInnovate Program,Programme Agri-innover,362,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,6,9,0.6667,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinnovate-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinnovate-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-innover/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,139,AgriInnovate Program,Programme Agri-innover,2407,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,74,89,0.8315,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinnovate-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinnovate-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-innover/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,139,AgriInnovate Program,Programme Agri-innover,2409,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,1,3,0.3333,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinnovate-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-innover/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriinnovate-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-innover/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,133,AgriInvest,Agri-investissement,363,Percent of applications processed to issuance of the deposit notice in 45 days or less,Pourcentage des demandes traitées avec émission d'un avis de dépôt en 45 jours ou moins,TML,ONL,,,0.9,89377,98025,0.9118,,,Y,https://agriculture.canada.ca/en/programs/agriinvest/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/agri-investissement/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/programs/agriinvest/step-3-how-apply,https://agriculture.canada.ca/fr/programmes/agri-investissement/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,137,AgriMarketing Program: National Industry Association,Programme Agri-marketing : Volet Associations nationales de l'industrie,346,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,102,108,0.9444,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-marketing/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,137,AgriMarketing Program: National Industry Association,Programme Agri-marketing : Volet Associations nationales de l'industrie,2410,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,27,30,0.9,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-marketing/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,137,AgriMarketing Program: National Industry Association,Programme Agri-marketing : Volet Associations nationales de l'industrie,2412,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,20,44,0.4545,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-assurance-volet-associations-nationales-lindustrie/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agrimarketing-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-marketing/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,140,AgriRisk: Administrative Capacity Stream,Initiatives Agri-risques: Volet de renforcement des capacités administratives,397,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,2,3,0.6667,,,N,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,140,AgriRisk: Administrative Capacity Stream,Initiatives Agri-risques: Volet de renforcement des capacités administratives,2413,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,0,0,,,,NA,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,140,AgriRisk: Administrative Capacity Stream,Initiatives Agri-risques: Volet de renforcement des capacités administratives,2414,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,0,0,,,,NA,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,1981,AgriRisk: Research and Development Contribution Funding Stream,Initiatives Agri-risques: Volet de financement par contribution de recherche et développement,2365,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,0,0,,,,NA,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,1981,AgriRisk: Research and Development Contribution Funding Stream,Initiatives Agri-risques: Volet de financement par contribution de recherche et développement,2366,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,0,2,,,,NA,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,1981,AgriRisk: Research and Development Contribution Funding Stream,Initiatives Agri-risques: Volet de financement par contribution de recherche et développement,2367,Assess applications and send approval or rejection notification letter within 100 business days after the application has been deemed complete,Évaluer votre demande et vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,0,0,,,,NA,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,https://www.canada.ca/en/agriculture-agri-food/news/2019/08/agririsk-initiatives-program-to-re-open-for-applications.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2019/08/nouvelle-periode-dacceptation-des-demandes-au-titre-du-programme-des-initiatives-agri-risques.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,138,AgriScience Program: Projects,Programme Agri-science - projets,341,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,15,27,0.5556,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-science-projets/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,138,AgriScience Program: Projects,Programme Agri-science - projets,2415,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,0,0,,,,NA,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-science-projets/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,138,AgriScience Program: Projects,Programme Agri-science - projets,2417,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,15,27,0.5556,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-science-projets/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-agri-science-projets/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,134,AgriStability,Agri-stabilité,457,Percent of applications processed to the issuance of a Calculation of Program Benefits statement in 75 days or less,Pourcentage des demandes traitées avec émission d'un avis de dépôt en 75 jours ou moins,TML,ONL,,,0.75,4285,4773,0.8978,,,Y,https://agriculture.canada.ca/en/programs/agristability/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes/agri-stabilite/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/programs/agristability/step-3-how-apply,https://agriculture.canada.ca/fr/programmes/agri-stabilite/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,152,Canada Brand,Marque Canada,463,Acknowledge receipt of applications within one (1) business day,Accuser réception de votre demande dans un délai d'un (1) jour ouvrable,TML,ONL,,,0.8,163,163,1.0,,,Y,https://www.canada.ca/en/agriculture-agri-food/news/2023/02/government-of-canada-launches-canada-brand-refresh-for-agriculture-and-agri-food-products-in-international-markets.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2023/02/le-gouvernement-du-canada-modernise-la-marque-canada-pour-les-produits-agricoles-et-agroalimentaires-sur-les-marches-internationaux.html,https://www.canada.ca/en/agriculture-agri-food/news/2023/02/government-of-canada-launches-canada-brand-refresh-for-agriculture-and-agri-food-products-in-international-markets.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2023/02/le-gouvernement-du-canada-modernise-la-marque-canada-pour-les-produits-agricoles-et-agroalimentaires-sur-les-marches-internationaux.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,152,Canada Brand,Marque Canada,2434,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,158,178,0.8876,,,Y,https://www.canada.ca/en/agriculture-agri-food/news/2023/02/government-of-canada-launches-canada-brand-refresh-for-agriculture-and-agri-food-products-in-international-markets.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2023/02/le-gouvernement-du-canada-modernise-la-marque-canada-pour-les-produits-agricoles-et-agroalimentaires-sur-les-marches-internationaux.html,https://www.canada.ca/en/agriculture-agri-food/news/2023/02/government-of-canada-launches-canada-brand-refresh-for-agriculture-and-agri-food-products-in-international-markets.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2023/02/le-gouvernement-du-canada-modernise-la-marque-canada-pour-les-produits-agricoles-et-agroalimentaires-sur-les-marches-internationaux.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,152,Canada Brand,Marque Canada,2435,Send you a final approval or rejection notification within ten (10) business days following receipt of a fully documented application,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 10 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,94,95,0.9895,,,Y,https://www.canada.ca/en/agriculture-agri-food/news/2023/02/government-of-canada-launches-canada-brand-refresh-for-agriculture-and-agri-food-products-in-international-markets.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2023/02/le-gouvernement-du-canada-modernise-la-marque-canada-pour-les-produits-agricoles-et-agroalimentaires-sur-les-marches-internationaux.html,https://www.canada.ca/en/agriculture-agri-food/news/2023/02/government-of-canada-launches-canada-brand-refresh-for-agriculture-and-agri-food-products-in-international-markets.html,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2023/02/le-gouvernement-du-canada-modernise-la-marque-canada-pour-les-produits-agricoles-et-agroalimentaires-sur-les-marches-internationaux.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,148,Canada Pavilion Program,Guichet unique pour l'accès aux marchés - Programme du pavillon du Canada,385,Acknowledge receipt of applications within one (1) business day,Accuser réception de votre demande dans un délai d'un (1) jour ouvrable,TML,ONL,,,0.8,131,131,1.0,,,Y,https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program/trade-show-applicant-guide-canada-pavilion-program,https://agriculture.canada.ca/fr/commerce-international/service-lie-aux-salons-professionnels/programme-du-pavillon-du-canada/guide-du-participant-programme-du-pavillon-du-canada,https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program/trade-show-applicant-guide-canada-pavilion-program,https://agriculture.canada.ca/fr/commerce-international/service-lie-aux-salons-professionnels/programme-du-pavillon-du-canada/guide-du-participant-programme-du-pavillon-du-canada,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,148,Canada Pavilion Program,Guichet unique pour l'accès aux marchés - Programme du pavillon du Canada,2436,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,68,68,1.0,,,Y,https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program/trade-show-applicant-guide-canada-pavilion-program,https://agriculture.canada.ca/fr/commerce-international/service-lie-aux-salons-professionnels/programme-du-pavillon-du-canada/guide-du-participant-programme-du-pavillon-du-canada,https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program/trade-show-applicant-guide-canada-pavilion-program,https://agriculture.canada.ca/fr/commerce-international/service-lie-aux-salons-professionnels/programme-du-pavillon-du-canada/guide-du-participant-programme-du-pavillon-du-canada,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,148,Canada Pavilion Program,Guichet unique pour l'accès aux marchés - Programme du pavillon du Canada,2437,Send a final approval or rejection notification within 48 hours of receiving the fully documented application,Vous faire parvenir une lettre d'approbation ou de rejet dans les 48 heures suivant la réception des documents dûment remplis,TML,EML,,,0.8,131,131,1.0,,,Y,https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program/trade-show-applicant-guide-canada-pavilion-program,https://agriculture.canada.ca/fr/commerce-international/service-lie-aux-salons-professionnels/programme-du-pavillon-du-canada/guide-du-participant-programme-du-pavillon-du-canada,https://agriculture.canada.ca/en/international-trade/trade-show-service/canada-pavilion-program/trade-show-applicant-guide-canada-pavilion-program,https://agriculture.canada.ca/fr/commerce-international/service-lie-aux-salons-professionnels/programme-du-pavillon-du-canada/guide-du-participant-programme-du-pavillon-du-canada,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,146,Canadian Agricultural Strategic Priorities Program,Programme canadien des priorités stratégiques de l’agriculture,356,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,19,28,0.6786,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-canadien-priorites-strategiques-lagriculture/programme-canadien-priorites-strategiques-lagriculture-etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-canadien-priorites-strategiques-lagriculture/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,146,Canadian Agricultural Strategic Priorities Program,Programme canadien des priorités stratégiques de l’agriculture,2418,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,28,28,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-canadien-priorites-strategiques-lagriculture/programme-canadien-priorites-strategiques-lagriculture-etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-canadien-priorites-strategiques-lagriculture/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,146,Canadian Agricultural Strategic Priorities Program,Programme canadien des priorités stratégiques de l’agriculture,2420,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,4,4,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-canadien-priorites-strategiques-lagriculture/programme-canadien-priorites-strategiques-lagriculture-etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/canadian-agricultural-strategic-priorities-program/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-canadien-priorites-strategiques-lagriculture/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,127,Canadian Soil Information Services (CanSIS),Système d’information sur les sols du Canada (SISCan),2421,Provide an estimated delivery date for information products within three (3) business days,Fournir une date de livraison prévue pour tous les produits d'information dans les trois (3) jours ouvrables,TML,EML,,,0.8,55,55,1.0,,,Y,https://sis.agr.gc.ca/cansis/contact.html,https://sis.agr.gc.ca/siscan/contact.html,https://sis.agr.gc.ca/cansis/contact.html,https://sis.agr.gc.ca/siscan/contact.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,402,Horticulture Industry - Reports: Daily Update Frequency,Industrie horticole - Fréquence de la mise à jour des rapports quotidiens,ACS,ONL,,,0.8,471,502,0.9382,,,Y,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,403,Horticulture Industry - Reports: Weekly Update Frequency,Industrie horticole - Fréquence de la mise à jour des rapports hebdomadaires,ACS,ONL,,,0.8,197,208,0.9471,,,Y,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,404,Horticulture Industry - Reports: Monthly Update Frequency,Industrie horticole - Fréquence de la mise à jour des rapports mensuels,ACS,ONL,,,0.8,43,43,1.0,,,Y,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,405,Horticulture Industry: Annual Update Frequency,Industrie horticole - Fréquence de la mise à jour des rapports annuels,ACS,ONL,,,0.8,9,9,1.0,,,Y,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,https://agriculture.canada.ca/en/canadas-agriculture-sectors/horticulture/horticulture-sector-reports,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/horticulture/rapports-lindustrie-horticole,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,407,Poultry & Egg Sector - Reports: Weekly Update Fequency,Secteur de volaille et œufs - Fréquence de la mise à jour des rapports hebdomadaires,ACS,ONL,,,0.8,2137,2236,0.9557,,,Y,https://agriculture.canada.ca/en/canadas-agriculture-sectors/animal-industry/poultry-and-egg-market-information/service-standards-poultry-and-egg-market-information,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/production-animale/information-marche-volaille-oeufs/normes-service-linformation-marche-volaille-oeufs,https://agriculture.canada.ca/en/canadas-agriculture-sectors/animal-industry/poultry-and-egg-market-information/service-standards-poultry-and-egg-market-information,https://agriculture.canada.ca/fr/secteurs-agricoles-du-canada/production-animale/information-marche-volaille-oeufs/normes-service-linformation-marche-volaille-oeufs,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
