fiscal_yr,service_id,service_name_en,service_name_fr,service_standard_id,service_standard_en,service_standard_fr,type,channel,channel_comments_en,channel_comments_fr,target,volume_meeting_target,total_volume,performance,comments_en,comments_fr,target_met,standards_targets_uri_en,standards_targets_uri_fr,performance_results_uri_en,performance_results_uri_fr,owner_org,owner_org_title
2023-2024,2224,AAFC Contact Centre,Centre d’appels de la Direction des programmes du revenu agricole (DPRA),3261,Answer calls received within 60 seconds,On répond aux appels dans un délai de 60 secondes,TML,TEL,,,0.9,31283,31689,0.9872,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability/resources/service-standard-statistics#a1,https://agriculture.canada.ca/fr/programmes-services-agricoles/agri-stabilite/ressources/statistiques-normes-service#a1,https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability/resources/service-standard-statistics#a1,https://agriculture.canada.ca/fr/programmes-services-agricoles/agri-stabilite/ressources/statistiques-normes-service#a1,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,130,Drought Watch,Guetter la sécheresse,2425,Provide an estimated delivery date for information products within three (3) business days,Fournir une date de livraison prévue pour tous les produits d'information dans les trois (3) jours ouvrables,TML,EML,,,0.8,209,226,0.9248,,,Y,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate,https://agriculture.canada.ca/fr/agriculture-environnement/agroclimat-guetter-secheresse,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate,https://agriculture.canada.ca/fr/agriculture-environnement/agroclimat-guetter-secheresse,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,130,Drought Watch,Guetter la sécheresse,2426,Respond to general inquiries before the end of the next business day,Répondre aux demandes de renseignements générales reçues par téléphone ou par courriel avant la fin du jour ouvrable suivant,TML,TEL,,,0.8,493,520,0.9481,,,Y,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate,https://agriculture.canada.ca/fr/agriculture-environnement/agroclimat-guetter-secheresse,https://agriculture.canada.ca/en/agriculture-and-environment/drought-watch-and-agroclimate,https://agriculture.canada.ca/fr/agriculture-environnement/agroclimat-guetter-secheresse,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,572,Have all necessary documentation sent to creditors and producers 7 business days prior to the mediation meeting,Envoyer toute la documentation nécessaire aux créanciers et aux producteurs 7 jours avant la réunion de médiation,TML,TEL,,,0.8,161,192,0.8385,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,573,Schedule the first mediation meeting within 70 calendar days after acceptance of your application,Fixer la première réunion de médiation dans les 70 jours civils suivant l'acceptation de votre demande,TML,TEL,,,0.8,150,193,0.7772,,,N,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,734,Respond to general inquiries made to our phone number before the end of the next business day,Répondre aux demandes de renseignements générales reçues par téléphone avant la fin du jour ouvrable suivant,TML,TEL,,,0.8,643,643,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,2427,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,29,29,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,2428,Notify you if your application has been accepted or not by the end of the next business day,Vous aviser si votre demande a été acceptée ou refusée avant la fin du jour ouvrable suivant,TML,EML,,,0.8,236,243,0.9712,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/farm-debt-mediation-service/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/service-mediation-matiere-dendettement-agricole/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,2223,Food Waste Reduction Challenge,Défi de réduction du gaspillage alimentaire,3257,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,1,1,1.0,,,Y,https://impact.canada.ca/en/challenges/food-waste-reduction-challenge,https://impact.canada.ca/fr/defis/defi-reduction-du-gaspillage-alimentaire,https://impact.canada.ca/en/challenges/food-waste-reduction-challenge,https://impact.canada.ca/fr/defis/defi-reduction-du-gaspillage-alimentaire,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,2223,Food Waste Reduction Challenge,Défi de réduction du gaspillage alimentaire,3259,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,12,12,1.0,,,Y,https://impact.canada.ca/en/challenges/food-waste-reduction-challenge,https://impact.canada.ca/fr/defis/defi-reduction-du-gaspillage-alimentaire,https://impact.canada.ca/en/challenges/food-waste-reduction-challenge,https://impact.canada.ca/fr/defis/defi-reduction-du-gaspillage-alimentaire,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,2223,Food Waste Reduction Challenge,Défi de réduction du gaspillage alimentaire,3260,Send you a payment within 60 business days of receipt of a duly completed and documented claim,Expédier un paiement dans les  60 jours ouvrables suivant la réception d’une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,12,12,1.0,,,Y,https://impact.canada.ca/en/challenges/food-waste-reduction-challenge,https://impact.canada.ca/fr/defis/defi-reduction-du-gaspillage-alimentaire,https://impact.canada.ca/en/challenges/food-waste-reduction-challenge,https://impact.canada.ca/fr/defis/defi-reduction-du-gaspillage-alimentaire,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,129,Geospatial,Produits géospatiaux,2429,Provide an estimated delivery date for information products within three (3) business days,Fournir une date de livraison prévue pour tous les produits d'information dans les trois (3) jours ouvrables,TML,EML,,,0.8,120,120,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/geospatial-products,https://agriculture.canada.ca/fr/programmes-services-agricoles/produits-geospatiaux,https://agriculture.canada.ca/en/agricultural-programs-and-services/geospatial-products,https://agriculture.canada.ca/fr/programmes-services-agricoles/produits-geospatiaux,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,1985,Local Food Infrastructure Fund: Infrastructure and Equipment Improvement Projects,Fonds des infrastructures alimentaires locales — Projets d’amélioration des infrastructures et équipements,2387,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,52,58,0.8966,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/local-food-infrastructure-fund/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-infrastructures-alimentaires-locales/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/local-food-infrastructure-fund/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-infrastructures-alimentaires-locales/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,1985,Local Food Infrastructure Fund: Infrastructure and Equipment Improvement Projects,Fonds des infrastructures alimentaires locales — Projets d’amélioration des infrastructures et équipements,2388,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,484,501,0.9661,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/local-food-infrastructure-fund/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-infrastructures-alimentaires-locales/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/local-food-infrastructure-fund/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-infrastructures-alimentaires-locales/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,1985,Local Food Infrastructure Fund: Infrastructure and Equipment Improvement Projects,Fonds des infrastructures alimentaires locales — Projets d’amélioration des infrastructures et équipements,2390,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,969,974,0.9949,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/local-food-infrastructure-fund/step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-infrastructures-alimentaires-locales/etape-4-apres-avoir-presente-votre-demande,https://agriculture.canada.ca/en/agricultural-programs-and-services/local-food-infrastructure-fund/step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-infrastructures-alimentaires-locales/etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,150,Market Access Single Window,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,3224,A receipt of acknowledgement will be sent the same or next business day,Vous recevrez un accusé de réception le meme ou le jour ouvrable,ACS,EML,,,0.8,564,598,0.9431,,,Y,https://agriculture.canada.ca/en/international-trade/single-window-contact-agri-food-trade-services,https://agriculture.canada.ca/fr/commerce-international/guichet-unique-communiquer-service-dexportation-agroalimentaire,https://agriculture.canada.ca/en/international-trade/single-window-contact-agri-food-trade-services,https://agriculture.canada.ca/fr/commerce-international/guichet-unique-communiquer-service-dexportation-agroalimentaire,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,150,Market Access Single Window,Guichet unique pour l'accès aux marchés - Services d'accès aux marchés,2438,Response to your inquiry will follow within five business days,Une réponse à votre demande de renseignements suivra dans les cinq jours ouvrables,ACS,EML,,,0.8,277,387,0.7158,,,N,https://agriculture.canada.ca/en/international-trade/single-window-contact-agri-food-trade-services,https://agriculture.canada.ca/fr/commerce-international/guichet-unique-communiquer-service-dexportation-agroalimentaire,https://agriculture.canada.ca/en/international-trade/single-window-contact-agri-food-trade-services,https://agriculture.canada.ca/fr/commerce-international/guichet-unique-communiquer-service-dexportation-agroalimentaire,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV02746,Market Development Program for Turkey and Chicken,Programme de développement des marchés du dindon et du poulet,5051,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,7,7,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet,https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV02746,Market Development Program for Turkey and Chicken,Programme de développement des marchés du dindon et du poulet,5052,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,1,1,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet,https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV02746,Market Development Program for Turkey and Chicken,Programme de développement des marchés du dindon et du poulet,5053,Send you a payment within 30 business days of receipt of a duly completed and documented claim,Vous expédier un paiement dans les 30 jours ouvrables suivant la réception d'une demande de règlement dûment remplie et justifiée,TML,ONL,,,0.8,7,7,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet,https://agriculture.canada.ca/en/agricultural-programs-and-services/market-development-program-turkey-and-chicken,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-developpement-marches-du-dindon-du-poulet,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,149,Market Intelligence and Information Service (Global Analysis),Services de renseignements sur les marchés (Analyse des marchés mondiaux),458,Respond to general inquiries made to our phone number before the end of the next business day,Répondre aux demandes de renseignements générales reçues par téléphone avant la fin du jour ouvrable suivant,TML,TEL,,,0.8,14,14,1.0,,,Y,https://agriculture.canada.ca/en/international-trade/market-intelligence/agri-food-market-intelligence-service,https://agriculture.canada.ca/fr/commerce-international/renseignements-marches/service-dinformation-marches-agroalimentaires,https://agriculture.canada.ca/en/international-trade/market-intelligence/agri-food-market-intelligence-service,https://agriculture.canada.ca/fr/commerce-international/renseignements-marches/service-dinformation-marches-agroalimentaires,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,149,Market Intelligence and Information Service (Global Analysis),Services de renseignements sur les marchés (Analyse des marchés mondiaux),2439,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,120,121,0.9917,,,Y,https://agriculture.canada.ca/en/international-trade/market-intelligence/agri-food-market-intelligence-service,https://agriculture.canada.ca/fr/commerce-international/renseignements-marches/service-dinformation-marches-agroalimentaires,https://agriculture.canada.ca/en/international-trade/market-intelligence/agri-food-market-intelligence-service,https://agriculture.canada.ca/fr/commerce-international/renseignements-marches/service-dinformation-marches-agroalimentaires,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,149,Market Intelligence and Information Service (Global Analysis),Services de renseignements sur les marchés (Analyse des marchés mondiaux),2440,Provide an estimated delivery date for information products within three (3) business days,Fournir une date de livraison prévue pour tous les produits d'information dans les trois (3) jours ouvrables,TML,EML,,,0.8,135,135,1.0,,,Y,https://agriculture.canada.ca/en/international-trade/market-intelligence/agri-food-market-intelligence-service,https://agriculture.canada.ca/fr/commerce-international/renseignements-marches/service-dinformation-marches-agroalimentaires,https://agriculture.canada.ca/en/international-trade/market-intelligence/agri-food-market-intelligence-service,https://agriculture.canada.ca/fr/commerce-international/renseignements-marches/service-dinformation-marches-agroalimentaires,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,131,Office of Intellectual Property and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation (BPIC),375,Respond to general inquiries made to our phone number before the end of the next business day,Répondre aux demandes de renseignements générales reçues par téléphone avant la fin du jour ouvrable suivant,TML,TEL,,,0.8,0,0,,,,NA,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,131,Office of Intellectual Property and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation (BPIC),2442,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,0,0,,,,NA,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,131,Office of Intellectual Property and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation (BPIC),2443,Respond to a client's enquiry regarding posted licensing opportunities within five (5) business days,Répondre aux demandes de renseignements des clients concernant les possibilités d'octroi de licences publiées dans les cinq (5) jours ouvrables,TML,EML,,,0.8,2,2,1.0,,,Y,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,131,Office of Intellectual Property and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation (BPIC),2444,"Issue a draft CRADA (Collaborative Research and Development Agreement) for review 20 business days following receipt of all required documentation (work plan, budget, Science Director recommendation, completed risk assessment)","Envoyer une version préliminaire d'entente de collaboration pour la recherche et le développement aux fins d'examen dans les 20 jours ouvrables suivant la réception de toute la documentation requise (plan de travail, budget, recommandation du directeur scientifique, évaluation des risques dûment complétée)",ACS,EML,,,0.8,62,64,0.9688,,,Y,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,131,Office of Intellectual Property and Commercialization,Bureau de la propriété intellectuelle et de la commercialisation (BPIC),2445,Notify successful proponents 20 business days after the close of the Request for Proposal (reported annually in Q4),Aviser les soumissionnaires retenus dans les 20 jours ouvrables suivant la clôture de la demande de propositions (déclarée chaque année au 4e trimestre),ACS,EML,,,0.8,19,19,1.0,,,Y,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,https://agriculture.canada.ca/en/science/technology-transfer-and-licensing-agriculture/office-intellectual-property-and-commercialization,https://agriculture.canada.ca/fr/science/transfert-licences-technologie-agriculture/bureau-propriete-intellectuelle-commercialisation,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,132,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,364,Respond to general inquiries made to our phone number before the end of the next business day,Répondre aux demandes de renseignements générales reçues par téléphone avant la fin du jour ouvrable suivant,TML,TEL,,,0.8,19,19,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,132,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,366,Acknowledge receipt of applications within one (1) business day,Accuser réception de votre demande dans un délai d'un (1) jour ouvrable,TML,ONL,,,0.8,35,35,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,132,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,2446,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,55,59,0.9322,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,132,Saint-Hyacinthe Research and Development Centre's Industrial Program,Programme industriel du Centre de recherche et de développement de Saint-Hyacinthe,2447,Assess your application and send you an approval or a rejection decision notification within 10 business days,Évaluer votre demande et vous adresser une lettre d'avis d'approbation ou de rejet dans les 10 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,35,35,1.0,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,https://agriculture.canada.ca/en/agricultural-programs-and-services/agriculture-and-agri-food-canada-saint-hyacinthe-research-and-development-centres-industrial-program,https://agriculture.canada.ca/fr/programmes-services-agricoles/programme-industriel-du-centre-recherche-developpement-dagriculture-agroalimentaire-canada-saint,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV02748,Supply Management Processing Investment Fund,Fonds d’investissement pour la transformation des produits sous la gestion de l’offre,5055,Respond to general inquiries made to our email address before the end of the next business day,Répondre aux demandes de renseignements générales reçues par courriel avant la fin du jour ouvrable suivant,TML,EML,,,0.8,44,48,0.9167,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-4-apres-avoir-presente-votre,https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2023-2024,SRV02748,Supply Management Processing Investment Fund,Fonds d’investissement pour la transformation des produits sous la gestion de l’offre,5057,Send approval or rejection notification letter within 100 business days after the application has been deemed complete,Vous adresser une lettre d'avis d'approbation ou de rejet dans les 100 jours ouvrables suivant la réception du dossier de demande complet,TML,EML,,,0.8,29,36,0.8056,,,Y,https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-4-after-you-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-4-apres-avoir-presente-votre,https://agriculture.canada.ca/en/agricultural-programs-and-services/supply-management-processing-investment-fund/supply-management-processing-investment-fund-step-3-how-apply,https://agriculture.canada.ca/fr/programmes-services-agricoles/fonds-dinvestissement-transformation-produits-gestion-loffre/fonds-dinvestissement-transformation-produits-gestion-loffre-etape-3-comment-presenter-demande,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
